post date,post url,impressions,clicks,reactions,comments,shares,engagement rate,ctr,post id
2026-01-09,https://www.linkedin.com/feed/update/urn:li:activity:7415391034399977473,862,66,13,2,1,9.8557696,7.932691999999999,8583146d6870
2026-01-09,https://www.linkedin.com/feed/update/urn:li:activity:7415359676285882368,583,37,9,0,3,8.6115994,6.5026365,a2b41801ddda
2026-01-21,https://www.linkedin.com/feed/update/urn:li:activity:7419816088403783680,294,8,6,0,0,4.9822062,2.8469751000000003,0a765b3942b5
2026-01-23,https://www.linkedin.com/feed/update/urn:li:activity:7420562949184040962,201,18,6,1,0,13.3689836,9.6256681,e3edd011bc25
2026-01-27,https://www.linkedin.com/feed/update/urn:li:activity:7421878224869036032,359,11,10,0,0,6.069364,3.1791907,46b6787e129d
2026-01-28,https://www.linkedin.com/feed/update/urn:li:activity:7422335648432521216,314,6,7,0,0,4.3478262,2.0066889,db3d5c3e8310
2026-02-05,https://www.linkedin.com/feed/update/urn:li:activity:7425274535676997632,339,80,9,1,1,29.4498384,25.8899689,3260625f9824
2026-02-11,https://www.linkedin.com/feed/update/urn:li:activity:7427441322145542144,121,3,5,0,0,8.988764100000001,3.3707864999999995,23217add7736
2026-02-11,https://www.linkedin.com/feed/update/urn:li:activity:7427365874749181952,221,7,8,0,0,8.1521742,3.8043477,6c8e9c6734eb
2026-02-24,https://www.linkedin.com/feed/update/urn:li:activity:7432152343695011840,135,5,4,0,0,10.3896104,6.4935066,c635aeb6ad24
2026-02-25,https://www.linkedin.com/feed/update/urn:li:activity:7432420371867373568,154,5,6,0,0,11.4754096,8.196721199999999,cb131daccd28
2026-03-04,https://www.linkedin.com/feed/update/urn:li:activity:7435047681699459073,191,33,7,0,0,22.2222224,18.3333337,8b71ce810010
2026-03-05,https://www.linkedin.com/feed/update/urn:li:activity:7435420466879721472,187,15,5,0,0,11.3636367,8.522727300000001,d3000decfdf9
2026-03-12,https://www.linkedin.com/feed/update/urn:li:activity:7437949989055660032,498,18,15,1,0,7.2340428999999995,3.8297873000000004,1f40ae45246a
2026-03-13,https://www.linkedin.com/feed/update/urn:li:activity:7438213392160628736,268,13,9,1,0,9.5435686,5.3941909,2b5fb9937b93
2026-03-17,https://www.linkedin.com/feed/update/urn:li:activity:7439740296390729728,152,5,6,0,0,10.2803737,4.6728972,a8476a8ad81d
2026-03-18,https://www.linkedin.com/feed/update/urn:li:activity:7440079651361935360,358,11,7,0,2,8.583691,4.7210302,9ccfd93deb4c
2026-03-20,https://www.linkedin.com/feed/update/urn:li:activity:7440743955689947136,200,1,6,0,0,4.7169812,0.9433962,55e6ce8decab
2026-03-24,https://www.linkedin.com/feed/update/urn:li:activity:7442236522218684416,246,12,10,0,0,13.571429300000002,8.5714288,2866379665a7
2026-04-02,https://www.linkedin.com/feed/update/urn:li:activity:7445518256825872384,598,31,22,0,0,8.7565675,5.4290719,1aee842f2f66
2026-04-14,https://www.linkedin.com/feed/update/urn:li:activity:7449821342461362177,142,19,8,0,0,21.09375,14.84375,cae5b00edeb1
2026-04-15,https://www.linkedin.com/feed/update/urn:li:activity:7450162236502814721,201,12,6,0,0,9.782608600000001,6.5217391,79957c5595a3
2026-04-17,https://www.linkedin.com/feed/update/urn:li:activity:7450878611101958145,232,13,6,0,0,8.8372096,6.0465116,3cb815a3eafa
