modelo,alvo,fator,beta_padronizado,beta_abs,coeficiente_bruto,direcao
impressões_conteúdo_tempo,impressões,tema_operações_capacidade,0.701,0.701,484.398,positiva
impressões_conteúdo_tempo,impressões,dias_desde_inicio,-0.686,0.686,-4.357,negativa
impressões_conteúdo_tempo,impressões,tema_metrologia_validação,0.489,0.489,201.066,positiva
impressões_conteúdo_tempo,impressões,palavras_na_legenda,-0.38,0.38,-1.357,negativa
impressões_conteúdo_tempo,impressões,é_carrossel,-0.205,0.205,-95.382,negativa
impressões_conteúdo_tempo,impressões,caracteres_no_gancho,0.171,0.171,0.799,positiva
impressões_conteúdo_tempo,impressões,gancho_é_pergunta,0.167,0.167,95.964,positiva
impressões_conteúdo_tempo,impressões,consciência_problema,0.052,0.052,20.577,positiva
impressões_conteúdo_tempo,impressões,consciência_produto,0.017,0.017,6.045,positiva
impressões_conteúdo_tempo,impressões,consciência_solução,-0.014,0.014,-6.552,negativa
reações_conteúdo_tempo,reações,tema_operações_capacidade,0.79,0.79,20.177,positiva
reações_conteúdo_tempo,reações,dias_desde_inicio,-0.479,0.479,-0.113,negativa
reações_conteúdo_tempo,reações,tema_metrologia_validação,0.433,0.433,6.581,positiva
reações_conteúdo_tempo,reações,palavras_na_legenda,-0.293,0.293,-0.039,negativa
reações_conteúdo_tempo,reações,gancho_é_pergunta,0.228,0.228,4.843,positiva
reações_conteúdo_tempo,reações,caracteres_no_gancho,0.195,0.195,0.034,positiva
reações_conteúdo_tempo,reações,é_carrossel,-0.138,0.138,-2.368,negativa
reações_conteúdo_tempo,reações,consciência_solução,-0.075,0.075,-1.294,negativa
reações_conteúdo_tempo,reações,consciência_produto,-0.043,0.043,-0.576,negativa
reações_conteúdo_tempo,reações,consciência_problema,0.008,0.008,0.121,positiva
reações_com_exposição_impressões,reações,impressões,0.893,0.893,0.033,positiva
reações_com_exposição_impressões,reações,tema_operações_capacidade,0.164,0.164,4.184,positiva
reações_com_exposição_impressões,reações,dias_desde_inicio,0.133,0.133,0.031,positiva
reações_com_exposição_impressões,reações,gancho_é_pergunta,0.079,0.079,1.675,positiva
reações_com_exposição_impressões,reações,consciência_solução,-0.063,0.063,-1.077,negativa
reações_com_exposição_impressões,reações,consciência_produto,-0.058,0.058,-0.776,negativa
reações_com_exposição_impressões,reações,palavras_na_legenda,0.046,0.046,0.006,positiva
reações_com_exposição_impressões,reações,é_carrossel,0.046,0.046,0.782,positiva
reações_com_exposição_impressões,reações,caracteres_no_gancho,0.043,0.043,0.007,positiva
reações_com_exposição_impressões,reações,consciência_problema,-0.038,0.038,-0.558,negativa
reações_com_exposição_impressões,reações,tema_metrologia_validação,-0.004,0.004,-0.057,negativa
