feature,value,high_cluster_share,rest_share,share_lift_points,top_cluster_posts,rest_posts
hook_length_chars,mean,112.75,74.04166666666667,38.70833333333333,4,24
clicks_export,mean,36.25,15.478260869565217,20.77173913043478,4,24
days_since_start,mean,59.0,39.875,19.125,4,24
topic_group,Metrology / Validation,0.75,0.16666666666666666,0.5833333333333334,3,4
awareness_stage,Problem-aware,0.5,0.25,0.25,2,6
post_format_clean,Image,1.0,0.7916666666666666,0.20833333333333337,4,19
topic_group,Operations / Capacity,0.25,0.041666666666666664,0.20833333333333334,1,1
awareness_stage,Product-aware,0.5,0.375,0.125,2,9
hook_category,Statement,1.0,0.875,0.125,4,21
topic_group,Quality,0.0,0.041666666666666664,-0.041666666666666664,0,1
topic_group,Cleanroom,0.0,0.125,-0.125,0,3
topic_group,Other,0.0,0.125,-0.125,0,3
topic_group,Specialized Product,0.0,0.125,-0.125,0,3
hook_category,Question,0.0,0.125,-0.125,0,3
awareness_stage,Most aware,0.0,0.16666666666666666,-0.16666666666666666,0,4
topic_group,Supply Chain,0.0,0.16666666666666666,-0.16666666666666666,0,4
awareness_stage,Solution-aware,0.0,0.20833333333333334,-0.20833333333333334,0,5
topic_group,Prototype / DFM,0.0,0.20833333333333334,-0.20833333333333334,0,5
post_format_clean,Carousel,0.0,0.20833333333333334,-0.20833333333333334,0,5
ctr_export_pct,mean,5.4097148,8.800646030434782,-3.3909312304347825,4,24
caption_word_count,mean,107.5,152.29166666666666,-44.79166666666666,4,24
