alvo,grupo,rank_no_grupo,data,gancho,valor_do_alvo,impressoes,reacoes,formato,tipo_de_gancho,estagio_de_consciencia,grupo_de_tema,tema,palavras_legenda,caracteres_gancho,ctr_exportado_pct,eh_carrossel,eh_video,gancho_eh_pergunta
Impressões,Top 10%,1,4/19/26,"Na manufatura médica, capacidade produtiva não é só ter máquinas.",874,874,35,Imagem,Declaração,Consciente do problema,Operações / capacidade,Capacidade / manufatura previsível,82,65,11.43,0,0,0
Impressões,Top 10%,2,2/15/26,"Em dispositivos médicos, “parece certo” não é suficiente.",681,681,22,Imagem,Declaração,Consciente do produto,Metrologia / validação,Metrologia / validação dimensional,147,57,0.95,0,0,0
Impressões,Top 10%,3,4/1/26,"Em dispositivos médicos, o maior gargalo de qualidade nem sempre está na usinagem. Muitas vezes, ele aparece quando a amostra chega e falta evidência dimensional suficiente para sustentar a decisão técnica.",598,598,22,Imagem,Declaração,Consciente do produto,Metrologia / validação,Metrologia / validação dimensional,107,206,5.4290719,0,0,0
Impressões,Piores 10%,1,4/23/26,"Em kits cirúrgicos OEM, cada novo fornecedor é mais um ponto de falha:",85,85,7,Carrossel,Declaração,Consciente do produto,Operações / capacidade,Kits OEM integrados / redução de risco de fornecedor,129,70,20.45,1,0,0
Impressões,Piores 10%,2,2/10/26,"No seu P&L, sustentabilidade é custo extra ou vantagem competitiva?",121,121,5,Imagem,Pergunta,Consciente da solução,Outros,Sustentabilidade / eficiência produtiva,168,67,3.3707864999999995,0,0,1
Impressões,Piores 10%,3,2/23/26,"ANVISA, FDA, ISO 13485, dossiês, validação, rastreabilidade.",135,135,4,Imagem,Declaração,Consciente do produto,Protótipo / DFM,DFM / manufaturabilidade,115,60,6.4935066,0,0,0
Reações,Top 10%,1,4/19/26,"Na manufatura médica, capacidade produtiva não é só ter máquinas.",35,874,35,Imagem,Declaração,Consciente do problema,Operações / capacidade,Capacidade / manufatura previsível,82,65,11.43,0,0,0
Reações,Top 10%,2,2/15/26,"Em dispositivos médicos, “parece certo” não é suficiente.",22,681,22,Imagem,Declaração,Consciente do produto,Metrologia / validação,Metrologia / validação dimensional,147,57,0.95,0,0,0
Reações,Top 10%,3,4/1/26,"Em dispositivos médicos, o maior gargalo de qualidade nem sempre está na usinagem. Muitas vezes, ele aparece quando a amostra chega e falta evidência dimensional suficiente para sustentar a decisão técnica.",22,598,22,Imagem,Declaração,Consciente do produto,Metrologia / validação,Metrologia / validação dimensional,107,206,5.4290719,0,0,0
Reações,Piores 10%,1,2/23/26,"ANVISA, FDA, ISO 13485, dossiês, validação, rastreabilidade.",4,135,4,Imagem,Declaração,Consciente do produto,Protótipo / DFM,DFM / manufaturabilidade,115,60,6.4935066,0,0,0
Reações,Piores 10%,2,2/10/26,"No seu P&L, sustentabilidade é custo extra ou vantagem competitiva?",5,121,5,Imagem,Pergunta,Consciente da solução,Outros,Sustentabilidade / eficiência produtiva,168,67,3.3707864999999995,0,0,1
Reações,Piores 10%,3,2/25/26,"Na maioria das fábricas, qualidade é um departamento.",5,178,5,Imagem,Declaração,Consciente do problema,Metrologia / validação,Metrologia / validação dimensional,180,53,4.26,0,0,0
