week_start,posts,total_impressions,avg_impressions,total_reactions,avg_reactions
2026-01-20,3,737.0,245.66666666666666,21.0,7.0
2026-01-27,2,673.0,336.5,17.0,8.5
2026-02-03,1,339.0,339.0,9.0,9.0
2026-02-10,3,1023.0,341.0,35.0,11.666666666666666
2026-02-17,1,204.0,204.0,7.0,7.0
2026-02-24,4,643.0,160.75,22.0,5.5
2026-03-03,2,378.0,189.0,12.0,6.0
2026-03-10,2,766.0,383.0,24.0,12.0
2026-03-17,3,710.0,236.66666666666666,19.0,6.333333333333333
2026-03-24,1,246.0,246.0,10.0,10.0
2026-03-31,1,598.0,598.0,22.0,22.0
2026-04-14,4,1449.0,362.25,55.0,13.75
2026-04-21,1,85.0,85.0,7.0,7.0
